
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2800.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep  440/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 325.5537 | ε: 0.851
Ep  450/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 306.3734 | ε: 0.848
Ep  460/3000 | Avg_Score:      0 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 310.2674 | ε: 0.844
Ep  470/3000 | Avg_Score:      1 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 297.3443 | ε: 0.841
Ep  480/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 288.4763 | ε: 0.837
Ep  490/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 282.9674 | ε: 0.834
Ep  500/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 270.8125 | ε: 0.831
Ep  510/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 442.4322 | ε: 0.827
Ep  520/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 373.1639 | ε: 0.824
Ep  530/3000 | Avg_Score:      1 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 362.3015 | ε: 0.821
Ep  540/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 327.3196 | ε: 0.817
Ep  550/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 342.6349 | ε: 0.814
Ep  560/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 343.4705 | ε: 0.810
