
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.0005
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2800.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep  460/3000 | Best_Score:     11 | Best_Pieces:  22 | Best_Lines:   1 | Avg_Loss: 231.3665 | ε: 0.844
Ep  470/3000 | Best_Score:      0 | Best_Pieces:  25 | Best_Lines:   0 | Avg_Loss: 229.4778 | ε: 0.841
Ep  480/3000 | Best_Score:     11 | Best_Pieces:  23 | Best_Lines:   1 | Avg_Loss: 224.6660 | ε: 0.837
Ep  490/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 224.1819 | ε: 0.834
Ep  500/3000 | Best_Score:      0 | Best_Pieces:  27 | Best_Lines:   0 | Avg_Loss: 231.2278 | ε: 0.831
Ep  510/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 351.1315 | ε: 0.827
Ep  520/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 323.4671 | ε: 0.824
Ep  530/3000 | Best_Score:      0 | Best_Pieces:  26 | Best_Lines:   0 | Avg_Loss: 337.6779 | ε: 0.821
Ep  540/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 335.0370 | ε: 0.817
Ep  550/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 332.1445 | ε: 0.814
Ep  560/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 347.5898 | ε: 0.810
Ep  570/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 337.3318 | ε: 0.807
Ep  580/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 326.3158 | ε: 0.804
Ep  590/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 329.7608 | ε: 0.800
Ep  600/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 325.3299 | ε: 0.797
Ep  610/3000 | Best_Score:      0 | Best_Pieces:  25 | Best_Lines:   0 | Avg_Loss: 464.9261 | ε: 0.793
Ep  620/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 458.3912 | ε: 0.790
Ep  630/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 456.8003 | ε: 0.787
Ep  640/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 452.7903 | ε: 0.783
Ep  650/3000 | Best_Score:      0 | Best_Pieces:  20 | Best_Lines:   0 | Avg_Loss: 437.0514 | ε: 0.780
Ep  660/3000 | Best_Score:      0 | Best_Pieces:  20 | Best_Lines:   0 | Avg_Loss: 443.2684 | ε: 0.776
Ep  670/3000 | Best_Score:      0 | Best_Pieces:  27 | Best_Lines:   0 | Avg_Loss: 428.6359 | ε: 0.773
Ep  680/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 445.5048 | ε: 0.770
Ep  690/3000 | Best_Score:      0 | Best_Pieces:  20 | Best_Lines:   0 | Avg_Loss: 490.1536 | ε: 0.766
Ep  700/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 447.1867 | ε: 0.763
Ep  710/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 555.3059 | ε: 0.759
Ep  720/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 578.5431 | ε: 0.756
Ep  730/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 572.2088 | ε: 0.753
Ep  740/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 536.5483 | ε: 0.749
Ep  750/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 540.7540 | ε: 0.746
Ep  760/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 537.3120 | ε: 0.742
Ep  770/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 516.3092 | ε: 0.739
Ep  780/3000 | Best_Score:      0 | Best_Pieces:  25 | Best_Lines:   0 | Avg_Loss: 533.2538 | ε: 0.736
Ep  790/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 525.5561 | ε: 0.732
Ep  800/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 579.3499 | ε: 0.729
Ep  810/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 657.3022 | ε: 0.726
Ep  820/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 676.3070 | ε: 0.722
Ep  830/3000 | Best_Score:      0 | Best_Pieces:  25 | Best_Lines:   0 | Avg_Loss: 608.3728 | ε: 0.719
Ep  840/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 644.9509 | ε: 0.715
Ep  850/3000 | Best_Score:     11 | Best_Pieces:  22 | Best_Lines:   1 | Avg_Loss: 630.0149 | ε: 0.712
